split_id,split_name,split_abbreviation,category_name,category_displayName,stat_name,stat_displayName,stat_abbreviation,stat_value,stat_displayValue,stat_perGameValue,stat_perGameDisplayValue,stat_rank,stat_rankDisplayValue
0,All Splits,Any,defensiveInterceptions,Defensive Interceptions,interceptionTouchdowns,Interception Touchdowns,TD,2,2,,,4,Tied-4th
0,All Splits,Any,defensiveInterceptions,Defensive Interceptions,interceptionYards,Interception Yards,YDS,142,142,8,8,18,18th
0,All Splits,Any,kicking,Kicking,avgKickoffReturnYards,Average Kickoff Return Yards,YDS/KR,18.529,18.5,15.559000015258789,15.559,1,1st
0,All Splits,Any,kicking,Kicking,avgKickoffYards,Average Kickoff Yards,YDS/K,63.247,63.2,21.854999542236328,21.855,2,2nd
0,All Splits,Any,kicking,Kicking,extraPointAttempts,Extra Point Attempts,XPA,44,44,2,2,2,2nd
0,All Splits,Any,kicking,Kicking,extraPointPct,Extra Point Percentage,XP%,100,100.0,94.11799621582031,94.118,1,Tied-1st
0,All Splits,Any,kicking,Kicking,extraPointsBlocked,Extra Point Blocked,XPB,0,0,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,extraPointsBlockedPct,Extra Points Blocked Percentage,XPB%,0,0,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,extraPointsMade,Extra Points Made,XPM,44,44,2,2,2,2nd
0,All Splits,Any,kicking,Kicking,fairCatches,Fair Catches,FC,0,0,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,fairCatchPct,Fair Catch Percentage,FC%,0,0.0,8.574000358581543,8.574,1,Tied-1st
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts,Field Goal Attempts,FGA,33,33,1,1,2,Tied-2nd
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts1_19,Field Goal Attempts 1-19,FGA 1-19,0,0,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts20_29,Field Goal Attempts 20-29,FGA 20-29,7,7,,,2,2nd
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts30_39,Field Goal Attempts 30-39,FGA 30-39,10,10,,,3,3rd
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts40_49,Field Goal Attempts 40-49,FGA 40-49,13,13,,,2,2nd
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts50_59,Field Goal Attempts 50-59,FGA 50-59,3,3,,,4,4th
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts60_99,Field Goal Attempts 60-99,FGA 60-99,0,0,,,2,Tied-2nd
0,All Splits,Any,kicking,Kicking,fieldGoalAttempts50,Field Goal Attempts 50+,FGA 50+,3,3,,,2,2nd
0,All Splits,Any,kicking,Kicking,fieldGoalAttemptYards,Field Goal Attempt Yards,FGAYDS,1230,"1,230",73,73,4,4th
0,All Splits,Any,kicking,Kicking,fieldGoalPct,Field Goal Percentage,FG%,90.909,90.9,71.56900024414062,71.569,1,1st
0,All Splits,Any,kicking,Kicking,fieldGoalsBlocked,Field Goals Blocked,FGB,1,1,,,3,3rd
0,All Splits,Any,kicking,Kicking,fieldGoalsBlockedPct,Field Goals Blocked Percentage,CMP,3.03,3.0,2.940999984741211,2.941,3,3rd
0,All Splits,Any,kicking,Kicking,fieldGoalsMade,Field Goal Made,FGM,30,30,1,1,1,1st
0,All Splits,Any,kicking,Kicking,fieldGoalsMade1_19,Field Goals Made 1-19,FGM 1-19,0,0,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,fieldGoalsMade20_29,Field Goals Made 20-29,FGM 20-29,7,7,,,2,2nd
0,All Splits,Any,kicking,Kicking,fieldGoalsMade30_39,Field Goals Made 30-39,FGM 30-39,10,10,,,3,3rd
0,All Splits,Any,kicking,Kicking,fieldGoalsMade40_49,Field Goals Made 40-49,FGM 40-49,10,10,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,fieldGoalsMade50_59,Field Goals Made 50-59,FGM 50-59,3,3,,,2,Tied-2nd
0,All Splits,Any,kicking,Kicking,fieldGoalsMade60_99,Field Goals Made 60-99,FGM 60-99,0,0,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,fieldGoalsMade50,Field Goals Made 50+,50+,3,3,,,3,Tied-3rd
0,All Splits,Any,kicking,Kicking,fieldGoalsMadeYards,Field Goals Made Yards,FGMYDS,1096,"1,096",68,68,2,2nd
0,All Splits,Any,kicking,Kicking,fieldGoalsMissedYards,Field Goals Missed Yards,FGMSYD,134,134,5,5,4,4th
0,All Splits,Any,kicking,Kicking,kickoffReturns,Kickoff Returns,KR,34,34,2,2,2,2nd
0,All Splits,Any,kicking,Kicking,kickoffReturnTouchdowns,Kickoff Return Touchdowns,KRTD,0,0,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,kickoffReturnYards,Kickoff Return Yards,KRYDS,630,630,37,37,1,1st
0,All Splits,Any,kicking,Kicking,kickoffs,Kickoffs,K,97,97,5,5,2,2nd
0,All Splits,Any,kicking,Kicking,kickoffYards,Kickoff Yards,KYDS,6135,"6,135",127,127,2,2nd
0,All Splits,Any,kicking,Kicking,longFieldGoalAttempt,Long Field Goal Attempt,LFGA,58,58,,,2,2nd
0,All Splits,Any,kicking,Kicking,longFieldGoalMade,Long Field Goal Made,LNG,58,58,32,32,1,1st
0,All Splits,Any,kicking,Kicking,longKickoff,Long Kickoff,LK,73,73,52,52,2,Tied-2nd
0,All Splits,Any,kicking,Kicking,teamGamesPlayed,Team Games Played,GP,17,17,,,1,Tied-1st
0,All Splits,Any,kicking,Kicking,totalKickingPoints,Total Kicking Points,PTS,134,134,7,7,1,Tied-1st
0,All Splits,Any,kicking,Kicking,touchbackPct,Touchback Percentage,TB%,62.887,63,62.88399887084961,62.884,2,2nd
0,All Splits,Any,kicking,Kicking,touchbacks,Touchbacks,TB,61,61,3,3,2,2nd
0,All Splits,Any,returning,Returning,defFumbleReturns,Defensive Fumbles Returns,DFR,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,defFumbleReturnYards,Defensive Fumble Return Yards,DFRYDS,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,fumbleRecoveries,Fumble Recoveries,FR,4,4,,,31,31st
0,All Splits,Any,returning,Returning,fumbleRecoveryYards,Fumble Recovery Yards,YDS,116,116,,,3,3rd
0,All Splits,Any,returning,Returning,kickReturnFairCatches,Kick Return Fair Catches,KRFC,0,0,,,2,Tied-2nd
0,All Splits,Any,returning,Returning,kickReturnFairCatchPct,Kick Return Fair Catch Percentage,KRFC%,0,0.00,,,11,11th
0,All Splits,Any,returning,Returning,kickReturnFumbles,Kick Return Fumbles,KRF,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,kickReturnFumblesLost,Kick Return Fumbles Lost,KRFL,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,kickReturns,Kick Returns,ATT,34,34,2,2,15,Tied-15th
0,All Splits,Any,returning,Returning,kickReturnTouchdowns,Kick Return Touchdowns,TD,0,0,,,9,Tied-9th
0,All Splits,Any,returning,Returning,kickReturnYards,Kick Return Yards,YDS,630,630,37,37,25,25th
0,All Splits,Any,returning,Returning,longKickReturn,Long Kick Return,LNG,44,44,21,21,15,Tied-15th
0,All Splits,Any,returning,Returning,longPuntReturn,Long Punt Return,LNG,39,39,10,10,11,11th
0,All Splits,Any,returning,Returning,miscFumbleReturns,Miscellaneous Fumbles Returns,MFR,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,miscFumbleReturnYards,Miscellaneous Fumble Return Yards,MFRYDS,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,oppFumbleRecoveries,Opposition Fumble Recoveries,OPFR,6,6,,,24,Tied-24th
0,All Splits,Any,returning,Returning,oppFumbleRecoveryYards,Opposition Fumble Recovery Yards,OFRYDS,41,41,,,12,12th
0,All Splits,Any,returning,Returning,oppSpecialTeamFumbleReturns,Opposition Special Team Fumble Returns,OPSTFR,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,oppSpecialTeamFumbleReturnYards,Opposition Special Team Fumble Return Yards,OFRYDS,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,puntReturnFairCatches,Punt Return Fair Catches,FC,16,16,,,16,Tied-16th
0,All Splits,Any,returning,Returning,puntReturnFairCatchPct,Punt Return Fair Catch Percentage,PRFC%,32.65306,32.65,,,200,200th
0,All Splits,Any,returning,Returning,puntReturnFumbles,Punt Return Fumbles,PRF,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,puntReturnFumblesLost,Punt Return Fumbles Lost,PRFL,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,puntReturns,Punt Returns,ATT,33,33,1,1,8,8th
0,All Splits,Any,returning,Returning,puntReturnsStartedInsideThe10,Punt Returns Started Inside the 10,PR 10,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,puntReturnsStartedInsideThe20,Punt Returns Started Inside the 20,PR 20,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,puntReturnTouchdowns,Punt Return Touchdowns,TD,0,0,,,3,Tied-3rd
0,All Splits,Any,returning,Returning,puntReturnYards,Punt Return Yards,YDS,239,239,14,14,13,13th
0,All Splits,Any,returning,Returning,specialTeamFumbleReturns,Special Team Fumbles Returns,STFR,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,specialTeamFumbleReturnYards,Special Team Fumble Return Yards,STFRYD,0,0,,,1,Tied-1st
0,All Splits,Any,returning,Returning,teamGamesPlayed,Team Games Played,GP,17,17,,,1,Tied-1st
0,All Splits,Any,returning,Returning,yardsPerKickReturn,Yards Per Kick Return,AVG,18.529411,18.5,18.5,18.5,1,Tied-1st
0,All Splits,Any,returning,Returning,yardsPerPuntReturn,Yards Per Punt Return,AVG,7.242424,7.2,14,14,1,1st
0,All Splits,Any,returning,Returning,yardsPerReturn,Yards Per Return,YDS/R,12.970149,13.0,17,17,5,Tied-5th
0,All Splits,Any,punting,Punting,avgPuntReturnYards,Average Punt Return Yards,AVG,9.375,9.4,7.810999870300293,7.811,9,9th
0,All Splits,Any,punting,Punting,fairCatches,Fair Catches,FC,12,12,,,26,Tied-26th
0,All Splits,Any,punting,Punting,grossAvgPuntYards,Gross Average Punt Yards,AVG,43.927,43.9,40.71200180053711,40.712,27,27th
0,All Splits,Any,punting,Punting,longPunt,Long Punt,LNG,68,68,47,47,9,Tied-9th
0,All Splits,Any,punting,Punting,netAvgPuntYards,Net Average Punt Yards,NET,39.836,39.8,36.96699905395508,36.967,27,27th
0,All Splits,Any,punting,Punting,puntReturns,Punt Returns,ATT,24,24,1,1,22,Tied-22nd
0,All Splits,Any,punting,Punting,puntReturnYards,Punt Return Yards,YDS,225,225,13,13,22,22nd
0,All Splits,Any,punting,Punting,punts,Punts,PUNTS,55,55,3,3,25,25th
0,All Splits,Any,punting,Punting,puntsBlocked,Punts Blocked,PBLK,0,0,,,10,Tied-10th
0,All Splits,Any,punting,Punting,puntsBlockedPct,Punts Blocked Percentage,PBLK%,0,0.00,,,10,Tied-10th
0,All Splits,Any,punting,Punting,puntsInside10,Punts Inside 10,P 10,10,10,,,5,Tied-5th
0,All Splits,Any,punting,Punting,puntsInside10Pct,Punts Inside 10 Percentage,P 10%,18.182,18.18,,,2,2nd
0,All Splits,Any,punting,Punting,puntsInside20,Punts Inside 20,IN20,17,17,1,1,29,Tied-29th
0,All Splits,Any,punting,Punting,puntsInside20Pct,Punts Inside 20 Percentage,IN20%,30.909,30.91,34.47100067138672,34.471,27,27th
0,All Splits,Any,punting,Punting,puntYards,Punt Yards,YDS,2416,"2,416",142,142,27,27th
0,All Splits,Any,punting,Punting,teamGamesPlayed,Team Games Played,GP,17,17,,,1,Tied-1st
0,All Splits,Any,punting,Punting,touchbackPct,Touchback Percentage,TB%,5.455,5.46,5.881999969482422,5.882,18,18th
0,All Splits,Any,punting,Punting,touchbacks,Touchbacks,TB,3,3,,,20,Tied-20th
0,All Splits,Any,scoring,Scoring,defensivePoints,Defensive Points,DP,0,0,6,6,8,Tied-8th
0,All Splits,Any,scoring,Scoring,fieldGoals,Field Goals,FG,30,30,1,1,7,Tied-7th
0,All Splits,Any,scoring,Scoring,kickExtraPoints,Kick Extra Points,PAT,44,44,2,2,10,Tied-10th
0,All Splits,Any,scoring,Scoring,miscPoints,Miscellaneous Points,MISP,0,0,,,1,Tied-1st
0,All Splits,Any,scoring,Scoring,passingTouchdowns,Passing Touchdowns,PASS,20,20,1,1,25,Tied-25th
0,All Splits,Any,scoring,Scoring,receivingTouchdowns,Receiving Touchdowns,REC,20,20,1,1,25,Tied-25th
0,All Splits,Any,scoring,Scoring,returnTouchdowns,Return Touchdowns,RET,5,5,,,3,3rd
0,All Splits,Any,scoring,Scoring,rushingTouchdowns,Rushing Touchdowns,RUSH,25,25,1,1,1,1st
0,All Splits,Any,scoring,Scoring,totalPoints,Total Points,PTS,444,444,25,25,12,12th
0,All Splits,Any,scoring,Scoring,totalPointsPerGame,Total Points Per Game,TP/G,26.118,26.1,,,12,12th
0,All Splits,Any,scoring,Scoring,totalTouchdowns,Total Touchdowns,TD,50,50,2,2,12,Tied-12th
0,All Splits,Any,scoring,Scoring,totalTwoPointConvs,Total Two Point Conversions,2PT,5,5,,,3,Tied-3rd
0,All Splits,Any,scoring,Scoring,twoPointPassConvs,Two Point Pass Conversions,2PTPC,3,3,,,3,Tied-3rd
0,All Splits,Any,scoring,Scoring,twoPointRecConvs,Two Point Receiving Conversion,2PTRCC,3,3,,,3,Tied-3rd
0,All Splits,Any,scoring,Scoring,twoPointRushConvs,Two Point Rush Conversion,2PTRUC,2,2,,,3,Tied-3rd
0,All Splits,Any,scoring,Scoring,onePtSafetiesMade,One Point Safeties Made,OPSM,0,0,,,1,Tied-1st
0,All Splits,Any,miscellaneous,Miscellaneous,firstDowns,Total 1st downs,CMP,352,352,20,20,14,14th
0,All Splits,Any,miscellaneous,Miscellaneous,firstDownsPassing,Passing 1st downs,FDP,167,167,9,9,28,Tied-28th
0,All Splits,Any,miscellaneous,Miscellaneous,firstDownsPenalty,1st downs by penalty,FDPEN,22,22,1,1,32,32nd
0,All Splits,Any,miscellaneous,Miscellaneous,firstDownsPerGame,First Downs Per Game,FD/G,20.706,20.71,20,20,14,14th
0,All Splits,Any,miscellaneous,Miscellaneous,firstDownsRushing,Rushing 1st downs,FDR,163,163,9,9,1,1st
0,All Splits,Any,miscellaneous,Miscellaneous,fourthDownAttempts,First Downs Attempts,FDA,24,24,1,1,14,Tied-14th
0,All Splits,Any,miscellaneous,Miscellaneous,fourthDownConvPct,4th down %,4THC%,45.833,45.83,28.922000885009766,28.922,25,25th
0,All Splits,Any,miscellaneous,Miscellaneous,fourthDownConvs,Fourth Down Conversions,4THC,11,11,,,21,Tied-21st
0,All Splits,Any,miscellaneous,Miscellaneous,fumblesLost,Fumbles Lost,LST,6,6,,,25,Tied-25th
0,All Splits,Any,miscellaneous,Miscellaneous,possessionTimeSeconds,Possession Time Seconds,POSS,30521,30521,1795,"1,795",22,22nd
0,All Splits,Any,miscellaneous,Miscellaneous,redzoneEfficiencyPct,Red Zone Efficiency Percentage,CMP,73.54,73.54,,,5,5th
0,All Splits,Any,miscellaneous,Miscellaneous,redzoneFieldGoalPct,Red Zone Field Goal Percentage,RZFG%,26.23,26.23,,,17,17th
0,All Splits,Any,miscellaneous,Miscellaneous,redzoneScoringPct,Red Zone Scoring Percentage,RZ%,88.52,88.52,65,65,4,4th
0,All Splits,Any,miscellaneous,Miscellaneous,redzoneTouchdownPct,Red Zone Touchdown Percentage,RZTD%,62.3,62.30,,,5,Tied-5th
0,All Splits,Any,miscellaneous,Miscellaneous,thirdDownAttempts,Third Down Attempts,3RDA,221,221,13,13,13,Tied-13th
0,All Splits,Any,miscellaneous,Miscellaneous,thirdDownConvPct,3rd down %,3RDC%,45.701,45.70,44.80799865722656,44.808,4,4th
0,All Splits,Any,miscellaneous,Miscellaneous,thirdDownConvs,Third Down Conversions,3RDC,101,101,5,5,5,5th
0,All Splits,Any,miscellaneous,Miscellaneous,totalGiveaways,Total Giveaways,TGV,16,16,,,28,28th
0,All Splits,Any,miscellaneous,Miscellaneous,totalPenalties,Total Penalties,TPEN,107,107,6,6,10,Tied-10th
0,All Splits,Any,miscellaneous,Miscellaneous,totalPenaltyYards,Total Penalty Yards,TPY,842,842,49,49,19,19th
0,All Splits,Any,miscellaneous,Miscellaneous,totalTakeaways,Total Takeaways,TT,16,16,,,26,Tied-26th
0,All Splits,Any,miscellaneous,Miscellaneous,totalDrives,Total Drives,D,0,0,,,1,Tied-1st
0,All Splits,Any,miscellaneous,Miscellaneous,turnOverDifferential,Turnover Ratio,DIFF,0,0,,,16,Tied-16th
